Nama Dosen,Bidang,Judul Publikasi,Authors,Citation,Year,Judul Publikasi English
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Performance analysis of objective function MRHOF and OF0 in routing protocol RPL IPV6 over low power wireless personal area networks (6LoWPAN),"N Pradeska, W Najib, SS Kusumawardani",55,2016,Performance analysis of objective function MRHOF and OF0 in routing protocol RPL IPV6 over low power wireless personal area networks (6LoWPAN)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A systematic review of ontology use in E-Learning recommender system,"NW Rahayu, R Ferdiana, SS Kusumawardani",40,2022,A systematic review of ontology use in E-Learning recommender system
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Prototipe sistem e-learning dengan pendekatan gaya belajar vark (Kasus: Politeknik Indramayu),"E Ismantohadi, LE Nugroho, SS Kusumawardani",25,2015,E-learning system prototype with a vark learning style approach (Case: Indramayu Polytechnic)
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,A Proposed Model for Detecting Learning Styles Based on Agent Learning.,"MS Hasibuan, LE Nugroho, PI Santosa, SS Kusumawardani",24,2016,A Proposed Model for Detecting Learning Styles Based on Agent Learning.
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Design adaptive learning system using metacognitive strategy path for learning in classroom and intelligent tutoring systems,"K Agustianto, AE Permanasari, SS Kusumawardani, I Hidayah",21,2016,Design adaptive learning system using metacognitive strategy path for learning in classroom and intelligent tutoring systems
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Identifying and prioritizing barriers to digital transformation in higher education: a case study in Indonesia,"BR Aditya, R Ferdiana, SS Kusumawardani",19,2022,Identifying and prioritizing barriers to digital transformation in higher education: a case study in Indonesia
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Using ontology for providing content recommendation based on learning styles inside e-learning,"SS Kusumawardani, RS Prakoso, PI Santosa",19,2014,Using ontology for providing content recommendation based on learning styles inside e-learning
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Comparison clustering performance based on moodle log mining,"C Pradana, SS Kusumawardani, AE Permanasari",16,2020,Comparison clustering performance based on moodle log mining
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Validating youtube factors affecting learning performance,"Y Pratama, R Hartanto, SS Kusumawardani",16,2018,Validating youtube factors affecting learning performance
"Dr. Sri Suning Kusumawardani, S.T., M.T.",Software Engineering,Development of semi-supervised named entity recognition to discover new tourism places,"KE Saputro, SS Kusumawardani, S Fauziati",15,2016,Development of semi-supervised named entity recognition to discover new tourism places
